id,full_id,youtube_tags,predicted_tags
7ndy,pWafRpRUat0,"['Kołaczyce', 'Bieździadka', 'OSP', 'Straż', 'gmina', 'Jasło', 'wypadek']","['Vehicle', 'Car']"
jyaR,Q3GX0YVQKF4,"['Cocciante', 'canta', 'Arena', 'di', 'Verona', '30', 'maggio', '2009', 'opera', 'popolare', 'Giulietta', 'Romeo', 'Panella', 'ultimo', 'concerto']","['Concert', 'Musician', 'Musical ensemble', 'Orchestra', 'Verona Arena']"
jG9l,oO3MEDuxp8c,"['Lineage2', 'LineageII', 'リネ2', 'エアロヒーラー', 'ユールアーチャー', 'オーセルローグ', 'イースエンチャンター', '血盟戦', 'FPK', 'PVP', 'ゴス', 'Gustin', 'リネージュ2', 'ゴースティン', 'サリナ', 'リュックエルダー', 'ゴス鯖', 'tauti', 'タウティ']","['Game', 'Video game', 'Role-playing game', 'Perfect World (video game)', 'Rappelz']"
ruTi,2LCnfJHnspg,['01072011018'],"['Vehicle', 'Car', 'Motorsport', 'Racing', 'Sports car', 'Drifting (motorsport)', 'BMW', 'Supercar', 'Coupé', 'Ford Mustang', 'Nissan GT-R', 'Mercedes-AMG', 'Nissan Skyline', 'BMW M5', 'Shelby Mustang', 'Nissan Skyline GT-R', 'Mercedes-Benz SLS AMG', 'Dodge Challenger', 'Aston Martin Vantage (2005)']"
dGri,FH7aYYU0s9M,"['nba', 'top', 'jugadas', 'mejores', 'TOP10']","['Game', 'Basketball', 'Basketball moves', 'Slam dunk']"
Ehqh,d0fcvLE432c,"['Serigrafía', 'Arturo Negrete', 'Calendario 2014', 'Grand Chamaco', 'Rafahu', 'News', 'José Quintero', 'Estudio Zoveck', 'Raul Urias', 'Tavo Montañes', 'Cardo Cynara', 'Dr. Alderete', 'Chak Ceel', 'Alex Martinez', 'Alejandro Magallanes', 'Chema Skandal', '75 Grados']","['Art', 'Painting', 'Printing', 'T-shirt', 'Screen printing']"
KguS,k0ZwHEAqm5Y,"['Thrasher', 'Magazine', 'Thrasher Magazine', 'King Of The Road', 'Firing Line', 'Double Rock', 'Skateboarding', 'Skate', 'Kickflip', 'Hall of Meat', 'Full Part', 'Josh Hawkins']","['Skateboarding', 'Skateboard', 'Skateboarding trick', 'Skatepark', 'Kickflip']"
voMS,fNfVIkq8g2E,"['offroad', 'stunts', 'motor sports', 'automobiles', '4x4', 'extreme', 'mud', 'action', 'mudding', 'atv', 'with', 'go', 'pro', 'hd', 'gopro', 'quad', '4-wheeler', 'four', 'wheeler', 'ATV', 'honda', 'yamaha', 'suzuki', 'can', 'am', 'arctic', 'cat', 'flip', 'wreck', 'water', 'wheelie', 'crash', 'riding', 'motorcycle', 'motocross', 'kawasaki', 'dirt', 'racing', 'raptor', 'polaris', 'race', 'jump', 'first', 'person', 'view', 'doroycrew', 'doroy', 'crew', 'DoRoy', 'Crew', 'rincon', 'grizzly', 'sportsman', '850', '700', '680']","['Vehicle', 'Motorsport', 'Outdoor recreation', 'Four-wheel drive', 'Off-road vehicle', 'Trail', 'Mud bogging', 'Mud']"
wA9m,2hmb-I9k27w,"['Kirby', 'Dream', 'land']","['Game', 'Video game']"
aahc,R-1VIk960PA,,"['Game', 'Association football', 'Highlight film', 'Stadium']"
foTY,rbn8mguiWl4,['GTA V'],"['Game', 'Video game', 'Action-adventure game', 'Grand Theft Auto V', 'Easter egg (media)']"
JSNi,doFxh8gHRpE,"['get', 'wet', 'ent', 'turfin', 'turf', 'battle', 'the', 'funeral', 'retro', 'joyntz', 'no', 'noise', 'best', 'alive', 'idummy', 'feinz', 'poppin', 'gliding', 'bone', 'breaks', 'scorpion']","['Performance art', 'Dance', 'Roller skates']"
Kdth,DRZQjEQjuDo,"['Dick', 'Brave', 'and', 'the', 'Backbeats', 'Sasha', 'Walk', 'this', 'Way', '6.November', '2011', 'München', 'Munich', 'Kesselhaus']","['Concert', 'Musician', 'Performance art', 'Guitar', 'String instrument', 'Musical ensemble']"
MIbJ,CSWX3xxzggM,"['TV CM', 'モンブラン・ピクチャーズ']","['Game', 'Video game', 'Cartoon', 'Animation', 'Cartoon Network']"
m0YS,zEb7oUegkjw,,"['Hotel', 'Resort']"
IK4J,etCMJ6TBH-U,"['Вальс', 'випускників']",['Dance']
eKK8,YQMi5Vg25fw,"['wintertage', 'premier skatebioarding', 'michigan skateboarding', 'behady', 'mob', 'Eli Kress', 'Zach Rogers', 'James Bennet', 'Bo Kirby', 'Josh Rhone', 'Detroit', 'mi', 'lansing', 'grand rapids', 'Funny video', 'scary video', 'people falling', 'accidents', 'fights', 'crackheads', 'video game glitch', 'vx2100', 'sony', 'vegas ramped', 'slow', 'mo', 'mike mo', 'chris cole', 'sean malto', 'eric koston', 'nike sb', 'street league', 'prod', 'shane oneil', 'berrics', 'beerics', 'basedgod', 'odd future', 'tyler the creator', 'swag']","['Skateboarding', 'Skateboard', 'Skateboarding trick', 'Skatepark', 'Fisheye lens']"
PQNy,hdBfqcgNhPs,"['banda', 'degollado', 'hoy', 'que', 'te', 'bas']","['Cartoon', 'Animation']"
yhNv,YG3bSij5W9k,"['silver pegasus', 'pegusus', 'silver', 'silver porn', '1 oz silver pegasus', 'silver coin', 'silver bullion', 'goldsilver.com', 'mike maloney', 'Silver round', 'generic silver round', 'generic round', 'Coin (Collection Category)', 'silver review', 'coin review']",
vWkj,hPEqCfzQlJk,"['Bitbox', 'бітбокс', 'beatboxflute', 'флейта битбокс', 'flute beatbox', 'Beatbox', 'Сопілка', 'Sopilka', 'flute solo', 'флейта', 'Music (Industry)', 'битбокс', 'Beatflute', 'Flute Beatboxing', 'flute', 'Beatboxing (Musical Performance Role)']","['Musician', 'Flute', 'Didgeridoo']"
8Eu4,af9EoeTSJyg,"['claas', 'claas jaguar 870', 'claas axion', 'lexion', 'claas aers 816', 'ładowarka jcb', 'zetor', 'sianokiszonka 2015', 'belki 2015', 'w pryzme 2015', 'silos', 'arent', 'mława', 'grzebsk', 'bukowski', 'john deere 6530', 'zgrabiarka claas', 'samelamborghini', 'mafiasolec', 'mdr poświętne 2015', 'dji phantom 2', 'gopro hero 3 silver', 'latamy', 'omen 2015', 'viva windyki', 'deutz fahr', 'siew kukurydzy 2015', 'żniwa 2015']","['Vehicle', 'Car', 'Food', 'Tractor', 'Farm', 'Maize', 'Silage', 'Forage harvester']"
sD2U,1wBcj70aVmU,"['Sony', 'Tablet', 'giveaway', 'winner', 'NVDIA']",
Dyhj,9Jm6klHDBfQ,"['Video', 'Land', 'Rover', 'Freelander', 'autobild', 'de']","['Vehicle', 'Car', 'Truck', 'Four-wheel drive', 'Sport utility vehicle', 'Off-road vehicle', 'Pickup truck', None, 'Land Rover']"
wQ56,p481jmYtqUc,"['Guia', 'crianza', 'pokemon', 'pokemon x', 'pokemon y', 'competitivo', 'ivs', '5 y 6', 'tutorial']","['Game', 'Video game', 'Pokémon', 'Pokémon (video game series)', 'Pokémon X and Y', 'Pokémon Omega Ruby and Alpha Sapphire']"
W674,kwEsd4GF7mM,"['kyle', 'rexford', 'dane', 'iwata', 'merced', 'skatepark', 'mariposa', 'fresno', 'lions', 'skateboard']","['Skateboarding', 'Skateboard', 'Skateboarding trick', 'Skatepark']"
AOLI,ixi7fZjUHQE,"['Barack', 'Hussein', 'Obama', 'Weak', 'Leadership', 'Photo', 'Op', 'Scare', 'Air', 'Force', 'One', 'New', 'York', 'Panic', 'Disruption', 'Bloomberg', 'Flyover', '911', 'Truthers', 'WTC', 'NWO', 'Waste', 'US', 'America', 'Taxpayer', 'Funded', 'lookhearsee']",
ylfp,_Qz6JcPfqb8,"['Antimatter (Musical Group)', 'Mick Moss (Composer)', 'Alternative 4 (Musical Group)', 'michael moss', 'Vertrieb', 'Art Rock (Musical Genre)', 'Anathema (Musical Group)', 'Porcupine Tree (Musical Group)', 'prophecy productions', 'painted black', 'Progressive Metal (Musical Genre)', 'Opeth (Musical Group)', 'Progressive Rock (Musical Genre)', 'Prophecy']","['Musician', 'Guitar', 'Music video', 'Electric guitar']"
uWAi,-db5aFg8168,"['Naruto', 'Break', 'Stuff']","['Cartoon', 'Animation', 'Naruto', 'Sasuke Uchiha', None]"
EnYl,5YOFM_zgJgI,"['skyrim', 'rahgot', 'forelhost', 'glass claw', 'siege on the dragon cult', 'captain valmir', 'dragon priest mask', 'dragon priest masks', 'wrath', 'storm call', 'word of power', 'word', 'shout', 'wall', 'forelhost battlements', 'refectory', 'well', 'well key', 'skorm', 'snow-strider', 'journal']","['Game', 'Video game', 'Action-adventure game', 'Weapon', 'The Elder Scrolls V: Skyrim', 'The Elder Scrolls', 'The Elder Scrolls IV: Oblivion', 'Armour']"
DuJv,lObqWvclF5A,"['バイク', 'Ninja250', 'Motorcycle', 'Kawasaki', 'カワサキ']","['Vehicle', 'Car', 'Motorcycle', 'Motorcycling']"
QjWw,W8MyqaOuvUQ,"['full house', 'littlest pet shop', 'lps']","['Animation', 'Toy', 'Figurine']"
nerp,EEhkMqIjNF0,"['littlest pet shop', 'littlest', 'pet', 'shop', 'mom and babies', 'mom', 'baby', 'lps', 'toy', 'play', 'playset', 'family', 'friend', 'popular', 'mommy', 'babies', 'series', 'movie', 'set', 'funny', 'hasbro', 'old', 'style', 'mommies', 'dad', 'friendly', 'kid', 'show', 'bobble', 'bobbleheads', 'lps series', 'cookieswirlc', 'lps movies', 'lps mommies', 'video', 'dog', 'littlest pet shop videos', 'cookie swirl', 'juguete', 'brinquedo', 'happy', 'cookie swirl c', 'house', 'bulldog', 'home', 'vern', 'kitten', 'engaged', 'engagement', 'marry', 'dogs', 'lps dogs', 'lps cat', 'limo', 'surprise', 'dinner', 'part 57']","['Cartoon', 'Animation', 'Toy', 'Figurine', 'Littlest Pet Shop']"
xT8s,A4zmDhp4gtY,"['Kölner Jugendchor St. Stephan', 'Michael Kokott', 'NRW Tag 2011', 'Deutschlandfest Bonn']","['Concert', 'Musician', 'Musical ensemble', 'Choir']"
asrI,BwCgZ4Ebhds,"['Ronaldo', 'Cristiano Ronaldo (Football Player)', 'Soccer', 'Goal', 'Skills', 'Dribble Skills', 'worst', 'C. Ronaldo', 'Ronaldinho vs Messi vs C. Ronaldo', 'Ronaldo best goals', 'ronaldo dribble', 'Ronaldinho Dribble skills', 'Messi dribbe', 'Dribble', 'Messi Skills', 'messi fast running', 'Lionel Messi (Football Player)', 'Ronaldinho (Football Player)', 'Football (Sport)', 'Real', 'After Effects Tutorial', 'BakersTuts', 'MarcelScorpion', 'StormFreerun', 'CoD Ghosts fastest K.E.M']","['Game', 'Association football', 'Highlight film']"
roC7,hAJ_D5hukSo,"['Just Say Words', 'instrumental', 'One Second', 'Metallica', 'Forever Failure', 'Paradise Lost Pity The Sadness', 'Hardcore Superstar', 'hollywood undead', 'symphony x', 'True Belief', 'draconian times', 'Music For Nations', 'Widow', 'Cradle of Filth', 'lyrics', 'metal', 'Embers Fire', 'official', 'gothic', 'InMe', 'Paradise Lost live', 'cover', 'trailer', 'full album', 'Paradise Lost', 'MFN', 'Opeth', 'Paradise Lost lyrics', 'Sugarcoma', 'live', 'single', 'As I Die', 'acoustic', 'album', 'music video', 'Anathema', 'The Last Time', 'Pity The Sadness']","['Concert', 'Musician', 'Performance art', 'Guitar', 'Musical ensemble', 'Music video', 'Drum kit', 'Electric guitar', 'Drummer']"
pVGI,-1U4dAXo1jg,"['cinderella', 'yoville', 'version', 'part']","['Game', 'Video game', 'Cartoon']"
vJ62,wD9o7r13_bc,['Tristan'],"['Performance art', 'Dance', 'Naruto']"
Ufin,_-Oz8OFIeRo,['Playa'],"['Weather', 'Surfing', 'Beach', 'Ocean']"
H5dl,hHeRKuT9btI,"['MiBR', 'World', 'Tour', '2008', 'movie', 'Brasil', 'Cup', 'DreamHack', '08', 'Winter', 'Extreme', 'Masters', 'WCG', 'Brazil', 'ESWC', 'CS', 'GameGune', 'Pan', 'Am', 'Games', 'KODE5', 'global', 'II', 'Finals', 'Intel', 'Challenge', 'ESL', 'III', 'EU', 'GC', 'Dubai', 'MTL', 'LA', 'michael', 'jackson']","['Game', 'Video game', 'Counter-Strike (video game)']"
oLEi,mxx4ci8Swek,"['Yamaha', 'FZR', '600', 'Burnout', 'racing', 'Speedfreaks-Dresden', 'tire', 'exitus', '2009', 'Motorbike']","['Vehicle', 'Motorsport', 'Racing', 'Motorcycle', 'Motorcycling', 'Wheelie', 'Stunt performer', 'Moped', 'Supermoto', 'Yamaha YZF-R1']"
2wVf,cA1dn-fjrpU,"['two', 'mix', 'endless', 'love', 'gundam', 'wing', 'anime']","['Cartoon', 'Manga']"
ItKp,4uG-SCBMBLM,"['gothic', 'hard metal music', 'hard rock', 'indie rock', 'progressive metal', 'prog metal', 'liquid horizon', 'the script of life', 'heavy']","['Concert', 'Musician', 'Guitar', 'String instrument', 'Musical ensemble', 'Music video', 'Drum kit', 'Drum', 'Electric guitar', 'Drummer']"
KZNl,Rt6xJz0qF-E,"['new', 'Ninjago', 'lego Ninjago review', '2012', '2013', 'toy', 'sets', 'animation', 'lego review', 'set', 'review', 'episode', 'cartoon', 'stop motion', 'series', 'show', 'short', 'legos', 'toys', 'collection', 'toy fair', 'spinner', 'spinjitzu', 'snakes', 'skeletons', 'ninja', 'action', 'figure', 'epic', 'dragon', ""destiny's bounty"", 'green ninja', 'lloyd', 'garmadon', 'ninjago collection', 'Masters of Spinjitzu', 'Rise of the snakes', 'ninjago spinners', 'ninjago battle', 'Lloyd ZX', 'ninjago movie', 'brick film', '2011', '2014', '2015', 'season 1', 'season 2', 'season 3', 'season 4', 'film', 'trailer']",['Toy']
OYxU,vddBh1imNG4,"['Awit', 'sa', 'Panginoon', 'Maranatha', 'Christian', 'University', 'Choir', 'Musica', 'Sacra', 'PSM', 'MARANATHA', 'Indonesia', 'MCUC']","['Concert', 'Musician', 'Musical ensemble', 'Choir']"
EIDf,5TRO_ZUeNRc,['FlipShare'],"['Vehicle', 'Motorcycle']"
hliD,xJ-nZzcSX4I,,
hi8y,X23S9zcJlqY,"['guitar', 'hero', 'smash', 'hits', 'thunder', 'kiss', '65', '1965', 'fbfc', 'white', 'zombie']","['Game', 'Video game', 'Guitar Hero', 'Guitar Hero World Tour']"
LB5B,Wh9rftNHvDY,"['Guitar', 'piezo', 'PRS', 'PRS Guitars', 'Tremolo', 'music']","['Musician', 'Guitar', 'String instrument', 'Acoustic guitar', 'Electric guitar']"
rEbG,c4g13VAz0cE,"['Far', 'Cry', 'Walkthrough', 'misja', 'Laboratorium', '2/2', 'HD', 'Poziom', 'trudności:', 'Wyzwanie']","['Game', 'Video game', 'First-person shooter', 'Far Cry', 'Wolfenstein (series)', 'Far Cry (video game)']"
Asf3,wspDTCUBOWQ,"[""Don't Turn Around"", 'Ace of Base', 'Chipmunk Version']","['Cartoon', 'Chipmunk', 'Squirrel']"
U0b2,cC5iMiqXFzQ,"['Within', 'Temptation', 'piano', 'cover', 'Lost', 'The', 'Unforgiving', 'lyrics']","['Piano', 'Keyboard instrument', 'Pianist', 'Musical keyboard']"
YX0N,5hxZZx4P6tw,"['tuto', 'plaque', 'de', 'pression', 'minecraft', 'will', 'silver']","['Game', 'Video game', 'Minecraft', 'Door', 'Piston']"
7jzp,c6aR_9hxH10,"['100', '1817']","['Vehicle', 'Car', 'Driving']"
vefn,yOmWTyhIcJ8,"['bikers', 'moto', 'мото', 'путешествия', 'tourism', 'мотопутешествия', 'путешествия на мотоциклах', 'мотофильм', 'мототуризм', 'туризм', 'мотоциклы', 'мотоциклист', 'мотожурнал', 'видео о мотоциклистах', 'байкеры', 'байкерские клубы', 'видео о байкерах', 'похмелье', 'похмельный синдром']",
HpjZ,CdVEelR7Gfk,"['scooter', 'sponsor', 'me', 'video', 'vid', 'scootering', 'double', 'triple', 'tailwhip', 'backflip', 'frontflip', 'razor']","['Skateboarding', 'Skateboard', 'Skateboarding trick', 'Scooter (motorcycle)']"
a9uK,dRDZKwVwHTI,"['gezzcanezz', 'allyequestrian', 'equiially', 'lucy', 'goodbye']","['Music video', 'Animal', 'Pet', 'Horse', 'Pony', 'Dressage']"
GUMW,l6j3tTlccv0,"['TC', 'Transylvania', 'Calling', 'Trance', 'Festival', '2011', 'Romania', 'Roumanie', 'Transe', 'live', 'fest']","['Vehicle', 'Motorsport', 'Racing', 'Rallying']"
XQnc,rpvPjR36d18,,"['Fashion', 'Shoe', 'Sneakers', 'Nike, Inc.', 'Boot']"
pKwB,qibry_LndiQ,['staydownfeed'],
sj1W,SMvCDa1IUXs,"['Megan', 'Metheney', 'harp', 'Tsuki']","['String instrument', 'Harp']"
cfgv,ojSTpz9vODY,"['Galactic Federation of Light', 'Galactic Federation', 'Arcturian Group']",
lOge,6eJGWwgUwmc,"['shacknews', 'videogames', 'DLC', 'F2p', 'Grind', 'EA', 'Activison', '2k', 'Gaming', 'Opinion', 'Smosh', 'PewDiePie', 'Shackers', 'Stuff That Sucks', 'Evolve', 'COD', 'Micro transactions', 'iOS', 'Games', 'Free', 'Color', 'Funny', 'Greg', 'Downloadable Content (Video Game Genre)', 'Action Role-playing Game (Video Game Genre)', 'Video Game (Industry)', 'Random', 'Role-playing Game (Game Genre)', 'Industry (Organization Sector)']",
UcNZ,90ffuiPNyXA,"['Hans Zimmer', 'Jack', 'Johnny', 'Pirates', 'Pirates of the Caribbean', 'music', 'soundtrack', 'score', 'Film Score (Composition Type)', 'Film (film)', 'movie', ""At World's End"", 'Recording Sessions', 'Pirates Sessions', 'Film (Invention)', ""At World's End Score"", 'Pirates Score', 'Pirates Complete Score']",
O68C,A0wuLhcl0vE,"['skylight', 'coulour of the night', 'single', 'new', 'band', 'roland', 'drums', 'drummer', 'drum', 'cover', 'td-12', 'td', '12', 'play along', 'color', 'Drum Kit (Musical Instrument)', 'Drumming', 'Drum Cover']","['Drum kit', 'Drum', 'Drummer', 'Snare drum', 'Cymbal']"
e3MM,8czhcCjvo-c,"['Παραμύθι', 'Ο Θησαυρός του Πειρατή', ""Β' τάξη"", 'Δημοτικό Σχολείο', '54ο', 'Τσάκαλος', 'school project', 'greek', 'fairytale', 'pirate', 'School (TV Genre)']","['Cartoon', 'Animation', 'Art']"
7eD1,RnIkUlMIOuw,,"['Concert', 'Musician', 'Performance art', 'Musical ensemble']"
Boz3,omtwq3NWf0I,"['bcservice', 'bianchi & cecchi', 'lifeboat overload test', 'lifeboat;', 'waterbags;', 'crane load testing']","['Vehicle', 'Boat']"
1bvX,1kvxgAWfH2E,"['John Calhoun', 'Dead Space 3 Gameplay', 'Dead Space 3 Interview', 'Gameplay', 'Xbox', '360', 'PS3', 'PC', 'Xbox 360 (Video Game Platform)', 'EA', 'VG247 (Website)', 'Games']","['Game', 'Video game', 'Trailer (promotion)', 'Action-adventure game', 'PlayStation 3', 'Xbox 360', 'PlayStation 4', 'Guild Wars', 'Guild Wars 2', 'Far Cry', 'Achievement (video gaming)', 'Dragon Age', 'Kinect', 'Dragon Age: Inquisition', 'Dragon Age: Origins', 'GameSpot', 'Trophy', 'Metro: Last Light', 'GameTrailers', 'Dead Space 3', 'Fable III', 'Alan Wake']"
eLXP,uiNb-luPZNw,"['The Crew (Video Game)', 'The Crew Wild Run', 'Gamescom', 'Gameplay', 'avance', 'analisis', 'eurogamer', 'español', 'ubisoft', 'PS4', 'Xbox one']","['Vehicle', 'Car']"
oskp,lk-MRdI8eRY,"[""Let's"", ""let's"", 'Lets', 'lets', 'Play', 'play', 'Mario', 'mario', 'Party', 'party', 'Tournament', 'tournament', 'Nintendo', 'nintendo', 'GameCube', 'Gamecube', 'gamecube', 'Wii', 'wii']","['Game', 'Video game', 'Cartoon', 'Wii', 'Mario Party']"
QBc1,e62shBw47GU,"['Revit', ""Rev'it"", 'Motorcycel', 'Jacket', 'Goretex', 'Waterproof']",
jF2J,3SHFhiO3aaQ,"['Transformers', 'Darkside', 'of', 'the', 'moon', 'parody', 'parodia', 'newgrounds', 'comedia']","['Game', 'Video game', 'Cartoon', 'Animation', 'Trailer (promotion)', 'Spider-Man']"
t4Mp,04HIeHjUY4M,"['Интернет магазин SMT в Харькове', 'Интернет магазин СМТ Украина', 'Видеообзор Lenovo A889', 'Смартфон Lenovo A889', 'Мобильный телефон Lenovo A889', 'Цена Lenovo A889', 'Отзывы Lenovo A889', 'Купить смартфон Lenovo A889', 'Характеристики Lenovo A889', 'AnTuTu Lenovo A889', 'Lenovo A889 Киев', 'большой Lenovo A889', 'дешевый Lenovo A889', 'недорогой Lenovo A889', 'игровой Lenovo A889', 'Lenovo A889 Для игр', 'Lenovo A889 Винница', 'Lenovo A889 Одесса', 'Lenovo A889 Львов']","['Mobile phone', 'Smartphone', 'Gadget', 'Personal computer', 'Samsung Galaxy', 'Tablet computer', 'Sony Xperia', 'Samsung Electronics', 'Samsung Galaxy Note series', 'Telephone', 'Samsung Galaxy Tab series']"
Nb62,A0ujAQU7DNo,"['George Ezra', 'Budapest', 'Live', 'Brits 2015', 'Brit Awards', 'blame it on me', 'listen to the man', 'cassy o', 'album', 'interview', 'listen to the man lyrics', 'Budapest lyrics', 'did you hear the rain']","['Concert', 'Musician', 'Guitar', 'String instrument']"
hVTn,wvu6L7a-6q4,['PolkAudio'],"['Vehicle', 'Car', 'Loudspeaker', 'Subwoofer']"
Kqlz,azJidrBXjbU,"['Loquendo', 'Gta san andreas', 'GTA San andreas', 'Tutorial de como tener un perro en gta san andreas', 'como tener un perro en gta', 'gta sa', 'como tener un perro en gta sa', '2016', '2015']","['Game', 'Video game', 'Action-adventure game', 'Grand Theft Auto: San Andreas', 'Carl Johnson (Grand Theft Auto)']"
azlM,j7rcQUoveCE,"['Top', 'Glitch', 'Barrientos', 'the', 'ExclusiveGamingTV', 'Sorrowful', '200', 'SorrowfulMemory', 'Tips', 'Luk', 'Guild', 'Op', 'Powerful', 'Mapler', '2D', 'Damage cap', 'Characters', 'Channel', 'Update', 'Int', 'Maplestory', 'Rellik', '4th', 'Strong', 'Nexon', 'Blacklist', 'increase', 'Game', 'Together', 'Sorrow', 'SorrowfulNL', 'GMS', '20x', 'Veteran', 'to', 'Fun', 'Kradia', 'advancement', 'Kannon', 'Kern', 'YMCK', 'GG', 'Tricks', 'Str', 'WindArcher', 'Godly', 'ExcIusiveGaming', 'Bug', 'Maple', 'Classes', 'EGTV', 'Dex', 'TTTT', 'Exclusive', 'Guides', 'YouTube', 'Sinful', 'RED', 'Level', 'Exceed', 'job', 'Nightlord']","['Game', 'Video game', 'Cartoon', 'MapleStory']"
HPO6,nTPnOOnR72w,,['Video game']
